key,en,de,hu
settings,Settings,Einstellungen,Beállítások
darkMode,Dark Mode,Dunkles Thema,Sötét mód
lightMode,Light Mode,Helles Thema,Világos mód
systemTheme,System Theme,System-Thema,Rendszer téma
appTitle,Task Manager,Aufgabenmanager,Feladatkezelő
loginTitle,Login,Anmelden,Bejelentkezés
registerTitle,Register,Registrieren,Regisztráció
homeTitle,Home,Startseite,Főoldal
tasksTitle,Tasks,Aufgaben,Feladatok
categoriesTitle,Categories,Kategorien,Kategóriák
newTaskTitle,New Task,Neue Aufgabe,Új feladat
taskDetailsTitle,Task Details,Aufgabendetails,Feladat részletei
user,User,Benutzer,Felhasználó
registerSuccess,Registration successful! Please confirm your email.,Registrierung erfolgreich! Bitte bestätige deine E-Mail.,Sikeres regisztráció! Kérjük erősítsd meg az email címedet.
creating,Creating,Erstelle,Létrehozás
noUserLoggedIn,No user is logged in,Kein Benutzer ist angemeldet,Nincs bejelentkezett felhasználó
refresh,Refresh,Aktualisieren,Frissítés
createNewCategory,Create New Category,Neue Kategorie erstellen,Új kategória létrehozása
editCategory,Edit Category,Kategorie bearbeiten,Kategória szerkesztése
noCategories,No categories yet,Noch keine Kategorien,Nincsenek kategóriák
email,Email,E-Mail,Email cím
emailHint,Enter your email,Gib deine E-Mail-Adresse ein,Add meg az email címed
emailRequired,Email is required,E-Mail ist erforderlich,Az email cím megadása kötelező
emailInvalid,Invalid email format,Ungültiges E-Mail-Format,Érvénytelen email formátum
password,Password,Passwort,Jelszó
passwordHint,Enter your password,Gib dein Passwort ein,Add meg a jelszavad
passwordRequired,Password is required,Passwort ist erforderlich,A jelszó megadása kötelező
passwordTooShort,Password must be at least 6 characters,Passwort muss mindestens 6 Zeichen lang sein,A jelszó legalább 6 karakter hosszú legyen
passwordNeedsDigit,Password must contain a digit,Passwort muss mindestens eine Ziffer enthalten,A jelszónak tartalmaznia kell számot
confirmPassword,Confirm Password,Passwort bestätigen,Jelszó megerősítése
passwordsDontMatch,Passwords don't match,Passwörter stimmen nicht überein,A jelszavak nem egyeznek
fullName,Full Name,Vollständiger Name,Teljes név
fullNameHint,Enter your full name,Gib deinen vollständigen Namen ein,Add meg a teljes neved
fullNameRequired,Full name is required,Vollständiger Name ist erforderlich,A név megadása kötelező
login,Login,Anmelden,Bejelentkezés
register,Register,Registrieren,Regisztráció
logout,Logout,Abmelden,Kijelentkezés
save,Save,Speichern,Mentés
cancel,Cancel,Abbrechen,Mégse
delete,Delete,Löschen,Törlés
edit,Edit,Bearbeiten,Szerkesztés
create,Create,Erstellen,Létrehozás
update,Update,Aktualisieren,Frissítés
forgotPassword,Forgot Password?,Passwort vergessen?,Elfelejtett jelszó?
noAccount,Don't have an account? Register!,Noch kein Konto? Registrieren!,Még nincs fiókod? Regisztrálj!
hasAccount,Already have an account? Login!,Bereits ein Konto? Anmelden!,Már van fiókod? Jelentkezz be!
selectOption,Select an option:,Wähle eine Option:,Válassz az alábbi lehetőségek közül:
taskName,Task Name,Aufgabenname,Feladat neve
taskNameHint,Enter task name,Aufgabenname eingeben,Add meg a feladat nevét
taskNameRequired,Task name is required,Aufgabenname ist erforderlich,A feladat neve kötelező
category,Category,Kategorie,Kategória
selectCategory,Select category,Kategorie auswählen,Válassz kategóriát
noCategory,No category,Keine Kategorie,Nincs kategória
categoryName,Category Name,Kategoriename,Kategória neve
categoryNameHint,Enter category name,Kategoriename eingeben,Add meg a kategória nevét
categoryNameRequired,Category name is required,Kategoriename ist erforderlich,A kategória neve kötelező
categoryDescription,Description (optional),Beschreibung (optional),Leírás (opcionális)
privateTask,Private Task,Private Aufgabe,Privát feladat
privateTaskDescription,If checked only you can see this task,Wenn aktiviert kannst nur du diese Aufgabe sehen,Ha be van jelölve csak te láthatod ezt a feladatot
privateCategory,Private Category,Private Kategorie,Privát kategória
privateCategoryDescription,Private categories are not visible to family members,Private Kategorien sind für Familienmitglieder nicht sichtbar,A privát kategória nem látható a családtagok számára
taskCreated,Task created successfully,Aufgabe erfolgreich erstellt,Feladat sikeresen létrehozva
taskUpdated,Task updated successfully,Aufgabe erfolgreich aktualisiert,Feladat sikeresen frissítve
taskDeleted,Task deleted successfully,Aufgabe erfolgreich gelöscht,Feladat sikeresen törölve
categoryCreated,Category created successfully,Kategorie erfolgreich erstellt,Kategória sikeresen létrehozva
categoryUpdated,Category updated successfully,Kategorie erfolgreich aktualisiert,Kategória sikeresen módosítva
categoryDeleted,Category deleted successfully,Kategorie erfolgreich gelöscht,Kategória sikeresen törölve
error,Error,Fehler,Hiba
generalError,An error occurred,Ein Fehler ist aufgetreten,Hiba történt
connectionError,Connection error,Verbindungsfehler,Kapcsolódási hiba
tryAgain,Try Again,Erneut versuchen,Újrapróbálkozás
status,Status,Status,Státusz
inProgress,In Progress,In Bearbeitung,Folyamatban
completed,Completed,Abgeschlossen,Befejezve
visibility,Visibility,Sichtbarkeit,Láthatóság
private,Private,Privat,Privát
public,Public,Öffentlich,Nyilvános
creationDate,Creation Date,Erstellungsdatum,Létrehozás dátuma
userId,User ID,Benutzer-ID,Felhasználói azonosító
myTasks,My Tasks,Meine Aufgaben,Saját feladatok
familyTasks,Family Tasks,Familienaufgaben,Családi feladatok
noTasks,No tasks yet,Noch keine Aufgaben,Még nincsenek feladatok
noMyTasks,You don't have any tasks yet,Du hast noch keine Aufgaben,Még nincsenek saját feladataid
noFamilyTasks,There are no family tasks yet,Es gibt noch keine Familienaufgaben,Még nincsenek családi feladatok
acceptTerms,I accept the terms and conditions,Ich akzeptiere die Geschäftsbedingungen,Elfogadom a feltételeket és az adatvédelmi irányelveket
termsRequired,You must accept the terms and conditions,Du musst die Geschäftsbedingungen akzeptieren,A feltételek elfogadása kötelező a regisztrációhoz
theme,Theme,Thema,Téma
language,Language,Sprache,Nyelv
changeLanguage,Change Language,Sprache ändern,Nyelv váltása
english,English,Englisch,Angol
german,German,Deutsch,Német
hungarian,Hungarian,Ungarisch,Magyar
deleteConfirmation,Confirm Delete,Löschen bestätigen,Törlés megerősítése
deleteTaskConfirmation,Are you sure you want to delete this task?,Möchtest du diese Aufgabe wirklich löschen?,Biztosan törölni szeretnéd ezt a feladatot?
editProfile,Edit Profile,Profil bearbeiten,Profil szerkesztése
profileUpdated,Profile updated successfully,Profil erfolgreich aktualisiert,Profil sikeresen frissítve
profileLoadError,Failed to load profile data.,Fehler beim Laden der Profildaten.,Nem sikerült betölteni a profil adatokat.
personalData,Personal Data,Persönliche Daten,Személyes adatok
displayName,Display Name,Anzeigename,Megjelenítési név
displayNameRequired,Display name is required,Anzeigename ist erforderlich,A megjelenítési név megadása kötelező
birthDate,Birth Date,Geburtsdatum,Születési dátum
gender,Gender,Geschlecht,Nem
selectGender,Select gender,Geschlecht auswählen,Válassz nemet
male,Male,Männlich,Férfi
female,Female,Weiblich,Nő
other,Other,Andere,Egyéb
preferNotToSay,Prefer not to say,Keine Angabe,Nem szeretném megadni
residenceCity,Residence City,Wohnort,Lakóhely
dateTimeSettings,Date and Time Settings,Datums- und Zeiteinstellungen,Dátum és idő beállítások
dateFormat,Date Format,Datumsformat,Dátum formátum
timeFormat,Time Format,Zeitformat,Idő formátum
selectFormat,Select format,Format auswählen,Válassz formátumot
format24h,24-hour format (e.g. 14:30),24-Stunden-Format (z.B. 14:30),24 órás (pl. 14:30)
format12h,12-hour format (e.g. 2:30 PM),12-Stunden-Format (z.B. 2:30 PM),12 órás (pl. 2:30 PM)
timezone,Timezone,Zeitzone,Időzóna
selectTimezone,Select timezone,Zeitzone auswählen,Válassz időzónát
budapestTimezone,Central European Time (Budapest),Mitteleuropäische Zeit (Budapest),Közép-európai idő (Budapest)
londonTimezone,Greenwich Mean Time (London),Greenwich-Normalzeit (London),Greenwich-i középidő (London)
newYorkTimezone,Eastern Time (New York),Ostküstenzeit (New York),Keleti parti idő (New York)
losAngelesTimezone,Pacific Time (Los Angeles),Pazifikzeit (Los Angeles),Csendes-óceáni idő (Los Angeles)
tokyoTimezone,Japan Time (Tokyo),Japanische Zeit (Tokio),Japán idő (Tokió)
taskSettings,Task Settings,Aufgabeneinstellungen,Feladat beállítások
taskSortOrder,Task Sort Order,Aufgaben-Sortierreihenfolge,Feladatok rendezése
selectSortOrder,Select sort order,Sortierreihenfolge auswählen,Válassz rendezési sorrendet
byDueDate,By due date,Nach Fälligkeitsdatum,Határidő szerint
byPriority,By priority,Nach Priorität,Prioritás szerint
byCreationDate,By creation date,Nach Erstellungsdatum,Létrehozás szerint
byTitle,By title,Nach Titel,Cím szerint
readOnlyInformation,Read-only Information,Schreibgeschützte Informationen,Csak olvasható információk
created,Created,Erstellt,Létrehozva
updated,Updated,Aktualisiert,Frissítve
notSpecified,Not specified,Nicht angegeben,Nincs megadva
profilePicture,Profile Picture,Profilbild,Profilkép
changeProfilePicture,Change Profile Picture,Profilbild ändern,Profilkép módosítása
selectFromGallery,Select from Gallery,Aus Galerie auswählen,Kiválasztás a galériából
takePhoto,Take Photo,Foto aufnehmen,Fénykép készítése
removePhoto,Remove Photo,Foto entfernen,Fénykép eltávolítása
profilePictureUpdated,Profile picture updated successfully,Profilbild erfolgreich aktualisiert,Profilkép sikeresen frissítve
profilePictureRemoved,Profile picture removed successfully,Profilbild erfolgreich entfernt,Profilkép sikeresen eltávolítva
profilePictureUploadError,Error uploading profile picture,Fehler beim Hochladen des Profilbilds,Hiba a profilkép feltöltésekor
dangerZone,Danger Zone,Gefahrenbereich,Veszélyes műveletek
deleteAccount,Delete Account,Konto löschen,Fiók törlése
deleteAccountButton,Delete Account,Konto löschen,Fiók törlése
deleteAccountExplanation,Deleting your account will remove your profile and related data. If you are the only member in your family all data you created will be deleted. If there are other family members your private data will become shared with them.,Das Löschen deines Kontos entfernt dein Profil und zugehörige Daten. Wenn du das einzige Mitglied deiner Familie bist werden alle von dir erstellten Daten gelöscht. Wenn es andere Familienmitglieder gibt werden deine privaten Daten mit ihnen geteilt.,A fiók törlésével a profilod és az ahhoz kapcsolódó adatok törlődnek. Ha te vagy az egyetlen tag a családodban minden általad létrehozott adat törlődni fog. Ha vannak más családtagok is a privát adataid megosztottá válnak velük.
delayedDeletion,30-day delayed deletion,30-Tage verzögerte Löschung,30 napos késleltetett törlés
delayedDeletionDescription,Your account will be deleted after 30 days. You can cancel the deletion request within this period.,Dein Konto wird nach 30 Tagen gelöscht. Du kannst die Löschung innerhalb dieses Zeitraums zurückziehen.,A fiókod 30 nap múlva törlődik. Ezen időszakon belül visszavonhatod a törlési kérelmet.
immediateDeletion,Immediate deletion,Sofortige Löschung,Azonnali törlés
immediateDeletionDescription,Your account and all related data will be deleted immediately. This action cannot be undone!,Dein Konto und alle zugehörigen Daten werden sofort gelöscht. Diese Aktion kann nicht rückgängig gemacht werden!,A fiókod és minden kapcsolódó adat azonnal törlődik. Ez a művelet nem vonható vissza!
confirmDeletion,I acknowledge that my profile and data will be deleted,Ich bestätige dass mein Profil und meine Daten gelöscht werden,Tudomásul veszem hogy a profilom és az adataim törlődni fognak
confirmDeleteRequired,Please confirm the deletion by checking the acknowledgement box,Bitte bestätige die Löschung durch Aktivieren des Bestätigungskästchens,Kérlek erősítsd meg a fiók törlését a jelölőnégyzet bejelölésével
immediateDeleteButton,Delete Account Immediately,Konto sofort löschen,Fiók azonnali törlése
permanentDelete,Permanent Delete,Dauerhaft löschen,Végleges törlés
immediateDeleteConfirmText,Are you sure you want to delete your account IMMEDIATELY? This action CANNOT BE undone and all your data will be deleted immediately! If you are the only member in your family all data you created will be deleted. If there are other family members your private data will become shared with them.,Möchtest du dein Konto SOFORT löschen? Diese Aktion kann NICHT RÜCKGÄNGIG gemacht werden und alle deine Daten werden sofort gelöscht! Wenn du das einzige Mitglied deiner Familie bist werden alle von dir erstellten Daten gelöscht. Wenn es andere Familienmitglieder gibt werden deine privaten Daten mit ihnen geteilt.,Biztosan AZONNAL törölni szeretnéd a fiókodat? Ez a művelet NEM VISSZAVONHATÓ és az összes adatod azonnal törlődik! Ha te vagy az egyetlen tag a családodban minden általad létrehozott adat törlődni fog. Ha más családtagok is vannak a privát adataid megosztottá válnak velük.
delayedDeleteConfirmText,Are you sure you want to delete your account? The deletion process will take 30 days during which you can cancel the deletion request. If you are the only member in your family all data you created will be deleted. If there are other family members your private data will become shared with them.,Möchtest du dein Konto löschen? Der Löschvorgang dauert 30 Tage während derer du die Löschung zurückziehen kannst. Wenn du das einzige Mitglied deiner Familie bist werden alle von dir erstellten Daten gelöscht. Wenn es andere Familienmitglieder gibt werden deine privaten Daten mit ihnen geteilt.,Biztosan törölni szeretnéd a fiókodat? A törlési folyamat 30 napig tart ez idő alatt visszavonhatod a törlési kérelmet. Ha te vagy az egyetlen tag a családodban minden általad létrehozott adat törlődni fog. Ha más családtagok is vannak a privát adataid megosztottá válnak velük.
accountDeletedSuccess,Your account has been deleted.,Dein Konto wurde gelöscht.,Fiókod törölve lett.
accountDeleteScheduledSuccess,Account deletion in progress. Your account will be permanently deleted after 30 days.,Kontolöschung in Bearbeitung. Dein Konto wird nach 30 Tagen dauerhaft gelöscht.,Fiók törlése folyamatban. Fiókod 30 nap múlva törlődik véglegesen.
accountDeleteError,Error deleting account,Fehler beim Löschen des Kontos,Hiba a fiók törlése során
accountScheduledForDeletion,Your account is scheduled for deletion,Dein Konto ist zur Löschung vorgemerkt,Fiókod törlésre vár
accountDeletionExplanation,Your account is scheduled for deletion. If you don't cancel the deletion your account and data will be automatically deleted on the scheduled date.,Dein Konto ist zur Löschung vorgemerkt. Wenn du die Löschung nicht abbrichst werden dein Konto und deine Daten am geplanten Datum automatisch gelöscht.,Fiókod törlésre van ütemezve. Ha nem vonod vissza a törlést fiókod és adataid automatikusan törlésre kerülnek a megadott dátumkor.
deletionRequested,Deletion requested,Löschung beantragt,Törlés kérve
deletionScheduled,Deletion scheduled,Löschung geplant,Törlés végrehajtása
daysRemaining,Days remaining,Verbleibende Tage,Hátralévő idő
cancelDeletion,Cancel Deletion Request,Löschantrag zurückziehen,Törlési kérelem visszavonása
deletionCancelled,Deletion request successfully cancelled,Löschantrag erfolgreich zurückgezogen,Törlési kérelem sikeresen visszavonva
deletionCancelError,Error cancelling deletion request,Fehler beim Zurückziehen des Löschantrags,Hiba történt a törlési kérelem visszavonása közben
deletionStatusError,Error checking deletion status,Fehler beim Prüfen des Löschstatus,Hiba történt a törlési állapot lekérdezésekor
privateCategory,Private Category,Private Kategorie,Privát kategória
publicCategory,Public Category,Öffentliche Kategorie,Nyilvános kategória
privateTaskWarning,This task is public but belongs to a private category so it will not be visible to others,Diese Aufgabe ist öffentlich gehört aber zu einer privaten Kategorie und ist daher für andere nicht sichtbar,Ez a feladat nyilvános de privát kategóriához tartozik így mások számára nem lesz látható
categoryVisibility,Category Visibility,Kategoriesichtbarkeit,Kategória láthatósága
reminderTitle,Task Reminder,Aufgaben-Erinnerung,Feladat emlékeztető
reminderForTask,Reminder for: {taskName},Erinnerung für: {taskName},Emlékeztető: {taskName}
enableNotifications,Enable notifications,Benachrichtigungen aktivieren,Értesítések bekapcsolása
disableNotifications,Disable notifications,Benachrichtigungen deaktivieren,Értesítések kikapcsolása
notificationsEnabled,Notifications enabled,Benachrichtigungen aktiviert,Értesítések bekapcsolva
notificationsDisabled,Notifications disabled,Benachrichtigungen deaktiviert,Értesítések kikapcsolva
reminderSetFor,Reminder set for {dateTime},Erinnerung eingestellt für {dateTime},Emlékeztető beállítva: {dateTime}

loginTitle,Login,Anmelden,Bejelentkezés
email,Email,E-Mail,E-mail
emailHint,Enter your email,Geben Sie Ihre E-Mail-Adresse ein,Add meg az e-mail címed
password,Password,Passwort,Jelszó
passwordHint,Enter your password,Geben Sie Ihr Passwort ein,Add meg a jelszavad
login,Login,Anmelden,Bejelentkezés
register,Register,Registrieren,Regisztráció
noAccount,Don't have an account? Register,Kein Konto? Registrieren,Nincs még fiókod? Regisztrálj
emailRequired,Email is required,E-Mail ist erforderlich,Az e-mail cím megadása kötelező
emailInvalid,Please enter a valid email,Bitte geben Sie eine gültige E-Mail-Adresse ein,Kérjük, adj meg egy érvényes e-mail címet
passwordRequired,Password is required,Passwort ist erforderlich,A jelszó megadása kötelező
passwordTooShort,Password must be at least 6 characters,Das Passwort muss mindestens 6 Zeichen lang sein,A jelszónak legalább 6 karakterből kell állnia
error,Error,Fehler,Hiba
# Új kulcsok a jelszó visszaállításhoz
loginFailed,Login Failed,Anmeldung fehlgeschlagen,Sikertelen bejelentkezés
invalidCredentials,Invalid username or password. Please try again.,Ungültiger Benutzername oder Passwort. Bitte versuchen Sie es erneut.,Érvénytelen felhasználónév vagy jelszó. Kérjük, próbáld újra.
forgotPassword,Forgot Password,Passwort vergessen,Elfelejtetted a jelszavad?
forgotPasswordQuestion,Did you forget your password?,Haben Sie Ihr Passwort vergessen?,Elfelejtetted a jelszavadat?
resetPassword,Reset Password,Passwort zurücksetzen,Jelszó visszaállítása
resetPasswordDescription,Enter your email address and we will send you a link to reset your password.,Geben Sie Ihre E-Mail-Adresse ein und wir senden Ihnen einen Link zum Zurücksetzen Ihres Passworts.,Add meg az e-mail címed, és küldünk egy linket a jelszavad visszaállításához.
sendResetLink,Send Reset Link,Link zum Zurücksetzen senden,Visszaállító link küldése
resetLinkSent,Reset Link Sent,Link zum Zurücksetzen gesendet,Visszaállító link elküldve
resetLinkSentDescription,We've sent a password reset link to {email}. Please check your inbox.,Wir haben einen Link zum Zurücksetzen des Passworts an {email} gesendet. Bitte überprüfen Sie Ihren Posteingang.,Elküldtünk egy jelszó-visszaállító linket a következő címre: {email}. Kérjük, ellenőrizd a beérkező üzeneteidet.
resetPasswordFailed,Password Reset Failed,Passwort zurücksetzen fehlgeschlagen,Jelszó visszaállítása sikertelen
cancel,Cancel,Abbrechen,Mégsem
ok,OK,OK,Rendben
